movie_title,release_date,genre,mpaa_rating, total_gross , inflation_adjusted_gross 
Snow White and the Seven Dwarfs,12/21/1937,Musical,G," $184,925,485 "," $5,228,953,251 "
Pinocchio,2/9/1940,Adventure,G," $84,300,000 "," $2,188,229,052 "
Fantasia,11/13/1940,Musical,G," $83,320,000 "," $2,187,090,808 "
Song of the South,11/12/1946,Adventure,G," $65,000,000 "," $1,078,510,579 "
Cinderella,2/15/1950,Drama,G," $85,000,000 "," $920,608,730 "
"20,000 Leagues Under the Sea",12/23/1954,Adventure,," $28,200,000 "," $528,279,994 "
Lady and the Tramp,6/22/1955,Drama,G," $93,600,000 "," $1,236,035,515 "
Sleeping Beauty,1/29/1959,Drama,," $9,464,608 "," $21,505,832 "
101 Dalmatians,1/25/1961,Comedy,G," $153,000,000 "," $1,362,870,985 "
The Absent Minded Professor,3/16/1961,Comedy,," $25,381,407 "," $310,094,574 "
Babes in Toyland,12/14/1961,Musical,G," $10,218,316 "," $124,841,160 "
Bon Voyage!,5/17/1962,Comedy,Not Rated," $9,230,769 "," $109,581,646 "
The Sword in the Stone,12/25/1963,Adventure,," $22,182,353 "," $153,870,834 "
The Jungle Book,10/18/1967,Musical,Not Rated," $141,843,000 "," $789,612,346 "
Blackbeard's Ghost,2/8/1968,Comedy,," $21,540,050 "," $138,612,686 "
The Aristocats,4/24/1970,Musical,G," $55,675,257 "," $255,161,499 "
The Boatniks,7/1/1970,Comedy,," $18,607,492 "," $101,200,742 "
Bedknobs and Broomsticks,10/7/1971,Musical,," $17,871,174 "," $91,305,448 "
The Apple Dumpling Gang,7/1/1975,Comedy,," $31,916,500 "," $131,246,872 "
Freaky Friday,1/21/1977,Comedy,," $25,942,000 "," $98,067,733 "
The Many Adventures of Winnie the Pooh,3/11/1977,,, $-   , $-   
The Rescuers,6/22/1977,Adventure,," $48,775,599 "," $159,743,914 "
Herbie Goes to Monte Carlo,6/24/1977,,," $28,000,000 "," $105,847,527 "
The Black Hole,12/21/1979,,," $35,841,901 "," $120,377,374 "
Midnight Madness,2/8/1980,,," $2,900,000 "," $9,088,096 "
The Last Flight of Noah’s Ark,6/25/1980,,," $11,000,000 "," $34,472,116 "
The Devil and Max Devlin,1/1/1981,,," $16,000,000 "," $48,517,980 "
Amy,3/20/1981,Drama,, $-   , $-   
The Fox and the Hound,7/10/1981,Comedy,," $43,899,231 "," $133,118,889 "
Condorman,8/7/1981,Action,, $-   , $-   
Night Crossing,2/5/1982,Drama,," $4,500,000 "," $12,903,059 "
Tron,7/9/1982,Action,," $26,918,576 "," $77,184,895 "
Tex,11/19/1982,Drama,," $7,199,408 "," $20,643,199 "
Trenchcoat,3/11/1983,Comedy,," $4,304,286 "," $11,519,089 "
Something Wicked This Way Comes,4/29/1983,Horror,," $5,656,087 "," $15,136,765 "
Never Cry Wolf,10/7/1983,Drama,," $27,668,764 "," $70,669,955 "
Running Brave,11/4/1983,Drama,," $1,204,595 "," $3,223,725 "
Splash,3/9/1984,Comedy,PG," $62,599,495 "," $157,057,661 "
Country,9/29/1984,Drama,," $8,400,000 "," $21,075,000 "
Baby: Secret of the Lost Legend,3/22/1985,Adventure,," $14,276,095 "," $33,900,697 "
Return to Oz,6/21/1985,Adventure,," $10,618,813 "," $25,215,934 "
The Black Cauldron,7/24/1985,Adventure,," $21,288,692 "," $50,553,142 "
My Science Project,8/9/1985,Comedy,," $4,100,000 "," $9,736,051 "
The Journey of Natty Gann,9/27/1985,Drama,," $9,468,512 "," $22,302,956 "
One Magic Christmas,11/22/1985,Drama,," $13,229,514 "," $31,415,432 "
Down and Out in Beverly Hills,1/31/1986,Comedy,R," $62,134,225 "," $141,183,693 "
Off Beat,4/11/1986,Comedy,," $4,842,778 "," $11,003,932 "
Ruthless People,6/27/1986,Comedy,R," $71,624,879 "," $162,748,712 "
The Great Mouse Detective,7/2/1986,Adventure,," $23,605,534 "," $53,637,367 "
Flight of the Navigator,7/30/1986,Adventure,," $18,564,613 "," $42,183,197 "
Tough Guys,10/3/1986,Comedy,," $21,458,229 "," $48,758,184 "
The Color of Money,10/17/1986,Drama,R," $52,293,000 "," $117,957,323 "
Outrageous Fortune,1/30/1987,Comedy,R," $52,864,741 "," $113,976,921 "
Tin Men,3/6/1987,Comedy,," $25,411,386 "," $54,787,202 "
Ernest Goes to Camp,5/22/1987,Comedy,," $23,509,382 "," $50,686,462 "
Benji the Hunted,6/5/1987,Adventure,," $15,212,539 "," $32,798,382 "
Adventures in Babysitting,7/3/1987,Comedy,," $33,790,923 "," $72,853,569 "
Stakeout,8/5/1987,Comedy,R," $65,673,233 "," $141,592,160 "
Can't Buy Me Love,8/14/1987,Romantic Comedy,," $31,623,833 "," $68,181,300 "
Hello Again,11/6/1987,Comedy,," $20,419,446 "," $44,024,529 "
3 Men and a Baby,11/25/1987,Comedy,PG," $167,780,960 "," $353,334,607 "
Good Morning Vietnam,12/23/1987,Comedy,R," $123,922,370 "," $254,414,837 "
Shoot to Kill,2/12/1988,Action,," $29,300,000 "," $60,097,074 "
D.O.A.,3/18/1988,Thriller/Suspense,," $12,706,478 "," $26,062,188 "
Return to Snowy River,4/15/1988,Adventure,PG," $13,687,027 "," $28,073,384 "
Big Business,6/10/1988,Comedy,PG," $40,150,487 "," $82,352,451 "
Who Framed Roger Rabbit?,6/22/1988,Comedy,PG," $154,112,492 "," $316,250,084 "
Cocktail,7/29/1988,Drama,R," $78,222,753 "," $160,442,289 "
The Rescue,8/5/1988,Action,," $5,855,392 "," $12,009,960 "
Heartbreak Hotel,9/30/1988,Comedy,," $5,509,417 "," $11,300,331 "
The Good Mother,11/4/1988,Drama,," $4,764,606 "," $9,772,655 "
Ernest Saves Christmas,11/11/1988,Comedy,PG," $28,202,109 "," $57,845,202 "
Oliver & Company,11/18/1988,Adventure,G," $49,576,671 "," $102,254,492 "
Beaches,12/21/1988,Drama,PG-13," $57,041,866 "," $120,381,757 "
Three Fugitives,1/27/1989,Comedy,PG-13," $40,590,000 "," $85,757,817 "
New York Stories,3/1/1989,Drama,PG," $10,763,469 "," $22,740,861 "
Disorganized Crime,4/14/1989,Comedy,," $7,210,149 "," $15,233,465 "
Dead Poets Society,6/2/1989,Drama,PG," $95,860,116 "," $202,531,517 "
"Honey, I Shrunk the Kids",6/23/1989,Adventure,PG," $130,724,172 "," $276,191,669 "
Turner & Hooch,7/28/1989,Comedy,PG," $71,079,915 "," $150,176,361 "
Cheetah,8/18/1989,Adventure,," $7,882,250 "," $16,653,473 "
An Innocent Man,10/6/1989,Drama,R," $19,397,847 "," $40,983,414 "
Gross Anatomy,10/20/1989,Drama,PG-13," $11,346,186 "," $23,972,012 "
The Little Mermaid,11/15/1989,Adventure,G," $111,543,479 "," $223,726,012 "
Blaze,12/13/1989,Drama,R," $19,049,727 "," $39,884,640 "
Stella,2/2/1990,Drama,PG-13," $20,062,347 "," $40,077,147 "
Where the Heart Is,2/23/1990,Comedy,," $1,106,475 "," $2,210,321 "
Pretty Woman,3/23/1990,Romantic Comedy,R," $178,406,268 "," $356,389,765 "
Ernest Goes to Jail,4/6/1990,Comedy,PG," $25,029,569 "," $49,999,822 "
Spaced Invaders,4/27/1990,Comedy,PG," $15,000,000 "," $29,964,452 "
Fire Birds,5/24/1990,Action,PG-13," $14,760,451 "," $29,485,923 "
Dick Tracy,6/15/1990,Action,PG," $103,738,726 "," $207,231,621 "
Betsy's Wedding,6/22/1990,Comedy,R," $19,740,070 "," $39,433,357 "
Arachnophobia,7/18/1990,Thriller/Suspense,PG-13," $53,208,180 "," $106,290,270 "
DuckTales: The Movie - Treasure of th…,8/3/1990,Adventure,G," $18,075,331 "," $36,107,823 "
Taking Care of Business,8/17/1990,Comedy,R," $20,005,435 "," $39,963,460 "
Mr. Destiny,10/12/1990,Comedy,PG-13," $15,379,253 "," $30,722,056 "
The Rescuers Down Under,11/16/1990,Adventure,G," $27,931,461 "," $55,796,728 "
3 Men and a Little Lady,11/21/1990,Comedy,PG," $71,609,321 "," $143,108,869 "
Green Card,12/25/1990,Romantic Comedy,PG-13," $29,804,169 "," $59,679,131 "
White Fang,1/18/1991,Adventure,PG," $34,729,091 "," $69,540,672 "
Scenes from a Mall,2/22/1991,Comedy,," $9,563,393 "," $19,149,495 "
Haakon Haakonsen,3/1/1991,Adventure,PG," $15,024,232 "," $30,084,149 "
The Marrying Man,4/5/1991,Romantic Comedy,R," $12,454,768 "," $24,939,118 "
Oscar,4/26/1991,Comedy,PG," $23,562,716 "," $47,181,395 "
One Good Cop,5/3/1991,Action,R," $11,276,846 "," $22,580,472 "
What About Bob?,5/17/1991,Comedy,PG," $63,710,000 "," $127,571,325 "
Wild Hearts Can't Be Broken,5/24/1991,Drama,," $7,300,000 "," $14,617,333 "
The Rocketeer,6/21/1991,Action,PG," $46,573,027 "," $93,256,673 "
The Doctor,7/24/1991,Drama,PG-13," $37,497,480 "," $75,084,021 "
Paradise,9/18/1991,Drama,PG-13," $18,634,643 "," $37,313,540 "
Deceived,9/27/1991,Thriller/Suspense,PG-13," $28,738,096 "," $57,544,453 "
Ernest Scared Stupid,10/11/1991,Comedy,PG," $14,143,280 "," $28,320,147 "
Billy Bathgate,11/1/1991,Drama,R," $15,565,363 "," $31,167,691 "
Beauty and the Beast,11/13/1991,Musical,G," $218,951,625 "," $363,017,667 "
Father of the Bride,12/20/1991,Comedy,PG," $89,325,780 "," $179,821,881 "
